,Title,published_date,Views,Likes,Comments,Month
64,Giving Back to My Most Engaged Subscribers!,2022-01-28 13:00:01+00:00,2346,117,87,Jan
65,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24 13:00:09+00:00,79878,1687,163,Jan
66,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17 13:00:00+00:00,9186,426,82,Jan
67,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14 10:00:02+00:00,8768,256,33,Jan
68,The Only Data Science Explanation You Need,2022-01-10 13:00:33+00:00,93739,2515,172,Jan
69,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03 13:00:35+00:00,14698,641,144,Jan
70,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27 13:00:34+00:00,347499,14940,526,Dec
71,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17 14:00:01+00:00,23282,630,71,Dec
72,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10 13:00:22+00:00,8263,572,25,Dec
73,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03 13:00:14+00:00,25506,1184,145,Dec
74,Why Is Data Engineering So HOT Right Now?,2021-11-26 13:00:22+00:00,30063,1098,134,Nov
75,Is Data Science Dying?,2021-11-19 13:00:01+00:00,127264,3901,359,Nov
76,7 Incredible Books That Transformed My Health and My Life,2021-11-12 13:00:04+00:00,8797,402,113,Nov
77,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05 13:00:23+00:00,3677,202,45,Nov
78,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29 12:00:01+00:00,15251,307,39,Oct
79,ML Ops: What is it REALLY?,2021-10-22 13:00:00+00:00,7403,281,66,Oct
80,Business Skills for Data Science: What are they REALLY?,2021-10-18 13:00:27+00:00,7087,306,50,Oct
81,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12 16:05:54+00:00,2230,119,5,Oct
82,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08 13:00:15+00:00,6168,283,64,Oct
83,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20 13:00:20+00:00,13309,534,108,Aug
84,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07 14:00:11+00:00,10673,437,32,Aug
85,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06 23:04:24+00:00,42893,1631,31,Aug
86,How I Learned to Learn.,2021-07-31 13:00:26+00:00,51394,2358,209,Jul
87,Is Spotify Shuffle Really Random? #Shorts,2021-07-21 13:00:21+00:00,11500,616,49,Jul
